teacher_note,label
لحسن الحظ الطالبة قادرة على الفهم بسرعة وتشارك زملاءها الأفكار جداً,low
الدارسة ملتزمة بالحضور وتبدي أداءً ممتازًا,low
الدارس يساهم في الأنشطة ويميل للتعلم الذاتي,low
الطفلة تبدي فهمًا عميقًا للمفاهيم الجديدة,low
الدارسة لديها ثقة بنفسها وتبدي فهمًا جيدًا,low
الطالب يتفاعل مع الدرس ويظهر تقدمًا واضحًا تماماً,low
يسعدني أن الطالبة ملتزمة بالحضور وتبدي أداءً ممتازًا,low
الطالب يساهم بحماس ويظهر شغفًا بالعلم,low
التلميذة ملتزمة بالحضور وتبدي أداءً ممتازًا,low
الطفل يحرص على المشاركة ويظهر روح المبادرة,low
الطالب يحرص على المشاركة ويظهر روح المبادرة جداً,low
الطفل ينشط بحماس ويظهر شغفًا بالعلم,low
التلميذ يتفاعل مع الدرس ويظهر تقدمًا واضحًا تماماً,low
الطالب يشارك في الأنشطة ويميل للتعلم الذاتي تماماً,low
التلميذة لديها ثقة بنفسها وتبدي فهمًا جيدًا,low
الدارس يشارك في الأنشطة ويميل للتعلم الذاتي,low
الطالب يحرص على المشاركة ويظهر روح المبادرة بوضوح,low
التلميذ لديه مهارات تواصل ممتازة بوضوح ويشارك بأفكاره,low
الطفلة متميزة في التحليل والتفكير النقدي بوضوح,low
يسعدني أن الطالبة تتعاون مع زملائها وتحب العمل الجماعي,low
الطفل يشارك بحماس ويظهر شغفًا بالعلم,low
الطالبة تتعاون مع زملائها وتحب العمل الجماعي بوضوح,low
التلميذة ملتزمة بالحضور وتبدي أداءً ممتازًا في الآونة الأخيرة,low
الطالبة لديها طاقة إيجابية وتحب المشاركة تماماً,low
الطالبة رائعة و متفاعلة مع جميع الأنشطة,low
لحسن الحظ الطالب يشارك بحماس ويظهر شغفًا بالعلم,low
التلميذة ملتزمة بالحضور وتبدي أداءً ممتازًا في الآونة الأخيرة,low
يسعدني أن الطفل يتفاعل مع الدرس ويظهر تقدمًا واضحًا,low
التلميذ منظم ويظهر تقدمًا ملحوظًا في دراسته خلال الفترة الماضية,low
من الجيد أن الدارسة تتعاون مع زملائها وتحب العمل الجماعي,low
الطالب يشارك في الحصة لكنه أحيانًا يتشتت بسرعة,moderate
الطالبة تحتاج مساعدة إضافية في فهم الدروس,moderate
الطالب يتأخر في تسليم المشاريع ويبدو عليه القلق,moderate
الطالبة تتردد في الإجابة وتحتاج إلى تشجيع مستمر,moderate
الطالب يبذل جهدًا لكنه يجد صعوبة في حل المسائل المعقدة,moderate
الطالبة تحتاج وقتًا أطول لاستيعاب بعض المفاهيم,moderate
الطالب أحيانًا يتشتت لكنه يحرص على التعلم,moderate
الطالبة تفتقد للحافز وتحتاج متابعة من الأهل,moderate
الطالب يبذل جهدًا لكنه يتوتر بسرعة أثناء الاختبارات,moderate
الطالبة تحتاج إلى دعم إضافي في مادة الرياضيات,moderate
الطالب لديه دافعية جيدة لكن يحتاج تنظيمًا أكبر لوقته,moderate
الطالبة تحاول بجد لكنها تجد صعوبة في القراءة الجهرية,moderate
الطالب يواجه تحديات في التعبير الكتابي,moderate
الطالبة تحتاج دعمًا في تطوير مهارات التفكير النقدي,moderate
الطالب يبذل جهدًا لكنه يتشتت عند مواجهة مسائل جديدة,moderate
الطالبة تحتاج دعمًا إضافيًا لتقوية ثقتها بنفسها,moderate
الطالب يحتاج متابعة متوسطة في مادة العلوم,moderate
الطالب يفتقر إلى متابعة متوسطة في مادة العلوم,moderate
الطالب يبذل جهدًا لكنه يتشتت انتباهه عند مواجهة مسائل جديدة,moderate
الدارسة تفتقد للحافز وتحتاج متابعة من الأهل,moderate
الطالب يحتاج متابعة متوسطة في مادة المواد العلمية,moderate
الطالب لديه دافعية رائعة لكن يحتاج تنظيمًا أكبر لوقته,moderate
الطالب لديه شغف جيدة لكن يحتاج تنظيمًا أكبر لوقته,moderate
الدارس يبذل جهدًا لكنه يتشتت عند مواجهة مسائل جديدة نوعاً ما,moderate
الطالبة تحاول بجد لكنها تجد صعوبة قليلاً في القراءة الجهرية,moderate
الطالب يحتاج متابعة متوسطة في مادة المواد العلمية,moderate
الدارس يحتاج متابعة متوسطة في مادة المواد العلمية,moderate
التلميذ يتأخر في تسليم المشاريع ويبدو عليه القلق,moderate
الطالب يبذل جهدًا لكنه يجد مشكلة في حل المسائل المعقدة نوعاً ما,moderate
الطالبة تحاول بجد لكنها تجد صعوبة في المطالعة الجهرية,moderate
الطالب يواجه تحديات في التعبير الكتابي قليلاً,moderate
الطالبة تحتاج وقتًا أطول لاستيعاب بعض المفاهيم قليلاً,moderate
التلميذ أحياناً يتشتت لكنه يحرص على التعلم قليلاً,moderate
الطفلة تحتاج إلى دعم إضافي في مادة الحساب,moderate
الدارس يحتاج متابعة متوسطة في مادة العلوم قليلاً,moderate
الطالبة تحتاج إلى دعم إضافي في مادة الرياضيات نوعاً ما,moderate
الطالبة تفتقر إلى وقتًا أطول لاستيعاب بعض المفاهيم إلى حد ما,moderate
الطفل يحتاج رعاية متوسطة في مادة العلوم,moderate
الطالبة تحتاج مساندة إضافية في فهم الدروس,moderate
الطالب أحيانًا يتشتت لكنه يحرص على التعلم إلى حد ما,moderate
الطالبة تخاف في الإجابة وتحتاج إلى تشجيع مستمر إلى حد ما في الآونة الأخيرة,moderate
التلميذة تستدعي دعمًا في تطوير مهارات التفكير النقدي,moderate
الطالب يحتاج متابعة متوسطة في مادة العلوم إلى حد ما,moderate
الطالبة تحتاج إلى دعم إضافي في مادة الرياضيات إلى حد ما,moderate
الطالب يبذل جهدًا لكنه يجد صعوبة قليلاً في حل المسائل المعقدة,moderate
الطالبة تفتقد للحافز وتحتاج ملاحظة من الأهل,moderate
الطفل يتأخر في تسليم المشاريع ويبدو عليه القلق,moderate
الطفلة تحتاج وقتًا أطول لاستيعاب بعض المفاهيم,moderate
الطفل لديه دافعية جيدة لكن يستدعي تنظيمًا أكبر لوقته مؤخراً,moderate
الطالبة تحاول بجد لكنها تجد صعوبة إلى حد ما في القراءة الجهرية,moderate
الطالبة تتردد في الإجابة وتحتاج إلى تشجيع مستمر نوعاً ما خلال الفترة الماضية,moderate
الطالب أحيانًا يتشتت لكنه يحرص على التعلم نوعاً ما,moderate
التلميذ أحيانًا يتشتت انتباهه لكنه يحرص على التعلم,moderate
الطالبة تحتاج إلى دعم إضافي في مادة الرياضيات نوعاً ما,moderate
الطفل يبذل جهدًا لكنه يتشتت عند مواجهة مسائل جديدة إلى حد ما,moderate
الطالبة تفتقد للحافز وتحتاج متابعة من الأهل قليلاً,moderate
الطالبة تفتقر إلى مساعدة إضافية في فهم الدروس إلى حد ما,moderate
الدارس يواجه تحديات في التعبير الكتابي,moderate
الطالب لديه شغف جيدة لكن يفتقر إلى تنظيمًا أكبر لوقته,moderate
الدارسة تحاول بجد لكنها تجد تحدي في القراءة الجهرية إلى حد ما,moderate
الدارس أحيانًا يتشتت لكنه يحرص على التعلم نوعاً ما,moderate
الطالب أحيانًا يتشتت لكنه يحرص على التعلم إلى حد ما,moderate
الطالبة تستدعي مساعدة أخرى في فهم الدروس,moderate
التلميذة تحتاج مساعدة أخرى في فهم الدروس,moderate
الطالبة تفتقد للحافز وتحتاج ملاحظة من الأهل,moderate
التلميذة تحتاج عون إضافية في فهم الدروس,moderate
الطالب أحيانًا ينشغل لكنه يحرص على التعلم,moderate
الطالبة تتأخر في الإجابة وتحتاج إلى تشجيع مستمر,moderate
الطالب يبذل جهدًا لكنه يتوتر بسرعة أثناء الاختبارات إلى حد ما,moderate
الطالب لديه شغف جيدة إلى حد ما لكن يحتاج تنظيمًا أكبر لوقته,moderate
الدارس يبذل جهدًا لكنه يتوتر بسرعة أثناء الاختبارات,moderate
الطالبة تفتقر إلى دعمًا إضافيًا لتقوية ثقتها بنفسها,moderate
الطالبة تحتاج دعمًا في تطوير مهارات التفكير النقدي نوعاً ما,moderate
الطالبة تتطلب وقتًا أطول لاستيعاب بعض المفاهيم,moderate
الطفل يتفاعل في الحصة لكنه أحيانًا يتشتت بسرعة نوعاً ما,moderate
التلميذة تتردد في الإجابة وتحتاج إلى تشجيع مستمر,moderate
التلميذة تتطلب دعمًا في تطوير مهارات التفكير النقدي,moderate
الطالب يبذل جهدًا لكنه يتشتت عند مواجهة مسائل جديدة قليلاً,moderate
الطالبة تستدعي دعمًا في تطوير مهارات التفكير النقدي,moderate
الطالب يحتاج رعاية متوسطة في مادة العلوم,moderate
الطالبة تحاول بجد لكنها تجد صعوبة إلى حد ما في القراءة الجهرية,moderate
الطالب أحيانًا يتشتت انتباهه لكنه يحرص على التعلم,moderate
الطالب يبذل جهدًا لكنه يجد صعوبة قليلاً في حل المسائل المعقدة,moderate
الطالبة تستدعي دعمًا إضافيًا لتقوية ثقتها بنفسها,moderate
التلميذ أحيانًا يتشتت لكنه يحرص على التعلم,moderate
الدارسة تحاول بجد لكنها تجد صعوبة في القراءة الجهرية,moderate
الدارس بعض الأوقات يتشتت لكنه يحرص على التعلم إلى حد ما,moderate
الطالب أحيانًا يتشتت لكنه يحرص على التعلم إلى حد ما,moderate
التلميذة تحاول بجد لكنها تجد صعوبة في القراءة الجهرية,moderate
الطالب يبذل جهدًا لكنه يفقد التركيز عند مواجهة مسائل جديدة,moderate
الطالبة تحتاج دعمًا في تطوير مهارات التفكير النقدي إلى حد ما,moderate
الدارسة تتطلب إلى دعم إضافي في مادة الرياضيات,moderate
الطالب يبذل جهدًا لكنه يجد صعوبة قليلاً في حل المسائل المعقدة,moderate
الدارسة تحتاج وقتًا أطول لاستيعاب بعض المفاهيم,moderate
الطالبة تحتاج إلى دعم إضافي في مادة الحساب نوعاً ما,moderate
الطالب لديه دافعية جيدة نوعاً ما لكن يحتاج تنظيمًا أكبر لوقته,moderate
الطالب يساهم في الحصة لكنه أحيانًا يتشتت انتباهه بسرعة,moderate
الدارسة تحتاج مساعدة إضافية في فهم الدروس,moderate
التلميذ يبذل جهدًا لكنه ينشغل عند مواجهة مسائل جديدة,moderate
التلميذ يشارك في الحصة لكنه أحيانًا يتشتت بسرعة إلى حد ما,moderate
الطالبة تعاني من صعوبة كبيرة في التركيز وتحتاج متابعة,high
الطالب لا ينجز واجباته بانتظام ويبدو عليه الإحباط,high
الطالبة تواجه صعوبات متكررة في القراءة والفهم,high
الطالب يعاني من فقدان التركيز معظم الوقت,high
الطالبة تعاني من قلة ثقة بالنفس أمام زميلاتها,high
الطالب يعاني من قلق شديد يؤثر على مشاركته الصفية,high
الطالبة تعاني من ضعف كبير في الكتابة والإملاء,high
الطالب يواجه صعوبة في فهم التعليمات البسيطة,high
الطالبة لا تنجز واجباتها بانتظام وتبدو عليها علامات القلق,high
الطالب يعاني من انسحاب اجتماعي داخل الصف,high
الطالبة تتعرض لنوبات من القلق تمنعها من المشاركة,high
الطالب يعاني من مشاعر إحباط متكررة,high
الطالبة تبدو مرهقة وتفتقر إلى التركيز,high
الطالب يعاني من قلة دافعية واضحة ويبدو مكتئبًا,high
الطالبة تواجه صعوبات في التنظيم وإدارة الوقت,high
الطالب يواجه صعوبة كبيرة في التواصل مع زملائه,high
الطالبة تعاني من ضغوط نفسية شديدة تؤثر على أدائها,high
الطفل يعاني من مشاعر إحباط متكررة,high
الدارسة تعاني من صعوبة للغاية واضحة في التركيز وتحتاج متابعة مؤخراً,high
الطالبة تتعرض لنوبات من القلق تمنعها من المشاركة بشدة,high
التلميذة لا تحقق واجباتها بانتظام وتبدو عليها علامات القلق,high
التلميذ يواجه من قلة دافعية واضحة ويبدو مكتئبًا,high
الدارس يعاني من قلق شديد يؤثر على مشاركته الصفية,high
الطالبة تواجه مشاكل في التنظيم وإدارة الوقت,high
التلميذ يعاني من مشاعر يأس متكررة,high
الطالب لا ينجز واجباته بانتظام ويبدو عليه الإحباط خلال الفترة الماضية,high
الطالب يعاني من قلة دافعية واضحة ويبدو مكتئبًا للغاية,high
الطالب يجد صعوبة في من قلق شديد يؤثر على مشاركته الصفية,high
الطالبة تواجه صعوبات في التنظيم وإدارة الوقت كثيراً,high
الطالبة تعاني من ضعف واضح في الكتابة والإملاء,high
الطالبة تواجه صعوبات في التنظيم وإدارة الوقت للغاية,high
الطالب يجد صعوبة جداً في من انزعاج شديد يؤثر على مشاركته الصفية,high
الطالبة تبدو مرهقة وتفتقر إلى التركيز في الآونة الأخيرة,high
الطالبة تواجه من قلة ثقة بالنفس أمام زميلاتها,high
الطالبة تجد صعوبة في من قلة ثقة بالنفس أمام زميلاتها,high
التلميذ يواجه عقبة في فهم التعليمات البسيطة,high
الدارسة تبدو مرهقة وتفتقر إلى التركيز للغاية,high
الطالب يعاني من فقدان التركيز معظم الوقت مؤخراً,high
الطالبة تتعرض لنوبات من القلق تمنعها من المشاركة كثيراً,high
الطالبة لا تنجز فروضها بانتظام وتبدو عليها علامات القلق,high
الطالب يجد صعوبة في من مشاعر إحباط متكررة,high
الطفل يعاني من فقدان التركيز معظم الوقت,high
الطالب يواجه تحدي كبيرة في التواصل مع زملائه,high
الطالبة تعاني من ضعف شديد في الكتابة والإملاء,high
الدارس يعاني من قلة دافعية واضحة ويبدو مكتئبًا,high
يبدو أن الطالب يواجه صعوبة في فهم التعليمات البسيطة,high
الطفلة تواجه عقبات متكررة في القراءة والفهم جداً,high
الطالبة تواجه صعوبات في التنظيم وإدارة الوقت بشدة,high
الطالب يعاني من قلق شديد يؤثر على مشاركته الصفية كثيراً,high
الطالب يتصارع مع من مشاعر إحباط متكررة,high
الدارس يواجه صعوبة كبيرة في التواصل مع زملائه,high
التلميذ يعاني من فقدان التركيز معظم الوقت,high
الدارس يتصارع مع من مشاعر ضيق متكررة,high
للأسف الطالبة تجد صعوبة في من عقبة واضحة في التركيز وتحتاج متابعة,high
الطالب لا يحقق واجباته بانتظام ويبدو عليه الإحباط كثيراً,high
للأسف الطالب يواجه تحدي شديدة في التواصل مع زملائه,high
الطالبة تبدو مرهقة وتفتقر إلى التركيز جداً,high
الطالب يواجه صعوبة بشدة كبيرة في التواصل مع زملائه,high
الطالب لا يكمل واجباته بانتظام ويبدو عليه الإحباط,high
الطالبة لا تنجز فروضها بانتظام وتبدو عليها علامات القلق,high
الطالب يواجه من مشاعر إحباط متكررة جداً,high
الطالبة تعاني من ضعف كبير في الكتابة والإملاء مؤخراً,high
الطفل يعاني من قلة دافعية واضحة ويبدو مكتئبًا,high
الطالب يعاني من مشاعر إحباط متكررة كثيراً,high
الطالب يواجه صعوبة شديدة في التواصل مع زملائه,high
الطالبة تواجه صعوبات في التنظيم وإدارة الوقت للغاية,high
الطالب يواجه من قلة دافعية واضحة ويبدو مكتئبًا جداً,high
الدارس يواجه صعوبة في فهم التعليمات البسيطة,high
الطفل يواجه مشكلة في فهم التعليمات البسيطة,high
الطالب يعاني من غياب التركيز معظم الوقت,high
الطفل يواجه من انعدام التركيز معظم الوقت هذا الأسبوع,high
الطفلة لا تنجز واجباتها بانتظام وتبدو عليها علامات القلق,high
الدارس يعاني من مشاعر إحباط متكررة,high
التلميذ يعاني من قلق شديد يؤثر على مشاركته الصفية جداً,high
الطالبة تعاني من صعوبة للغاية كبيرة في التركيز وتحتاج متابعة,high
الطفلة تجد صعوبة في من ضغوط نفسية شديدة تؤثر على أدائها,high
الطالب يواجه من انسحاب اجتماعي داخل الصف للغاية,high
الطالبة تتعرض لنوبات من القلق تمنعها من المشاركة بشدة في الآونة الأخيرة,high
الطفل يواجه صعوبة كبيرة في التواصل مع زملائه,high
التلميذة تعاني من قصور واضح في الكتابة والإملاء للغاية,high
الدارسة تعاني من قلة ثقة بالنفس أمام زميلاتها,high
الطالب يعاني من مشاعر إحباط متكررة بشدة,high
الطالب يعاني من مشاعر يأس متكررة,high
الطالبة لا تكمل واجباتها بانتظام وتبدو عليها علامات القلق جداً,high
الطالبة تعاني من عقبة عظيمة في التركيز وتحتاج متابعة,high
الطالبة تتصارع مع من قلة ثقة بالنفس أمام زميلاتها,high
الطالب يعاني من قلة شغف واضحة ويبدو مكتئبًا كثيراً,high
الطفلة تعاني من نقص كبير في الإنشاء والإملاء للغاية,high
الدارس لا ينجز واجباته بانتظام ويبدو عليه الإحباط,high
الطالبة تتصارع مع من صعوبة شديدة في التركيز وتحتاج متابعة,high
الطالب يعاني من انسحاب اجتماعي داخل الصف مؤخراً,high
الطفلة تتعرض لنوبات من القلق تمنعها من المشاركة,high
الطالبة تواجه صعوبات متكررة في القراءة والفهم للغاية,high
الطفلة تواجه صعوبات متكررة في القراءة والفهم,high
الطالب يتصارع مع من قلة رغبة واضحة ويبدو مكتئبًا,high
الطالبة تعاني من ضعف كبير في الإنشاء والإملاء,high
الطالب يجد صعوبة في من قلة شغف واضحة ويبدو مكتئبًا,high
الطفلة تواجه صعوبات في التنظيم وإدارة الوقت,high
الطالبة تعاني من ضعف كبير في الإنشاء والإملاء,high
التلميذ يواجه صعوبة في فهم التعليمات البسيطة,high
